File,Decks,Gen Time,Write Time,Read Time,Size (MB)
decks_0000.txt,"10,000",163.9 ms,5.9 ms,3.6 ms,0.51
decks_0001.txt,"10,000",172.4 ms,6.4 ms,3.5 ms,0.51
decks_0002.txt,"10,000",179.2 ms,5.1 ms,2.9 ms,0.51
decks_0003.txt,"10,000",173.5 ms,6.3 ms,3.6 ms,0.51
decks_0004.txt,"10,000",167.9 ms,5.5 ms,3.0 ms,0.51
decks_0005.txt,"10,000",172.9 ms,7.0 ms,4.0 ms,0.51
decks_0006.txt,"10,000",169.0 ms,5.2 ms,3.2 ms,0.51
decks_0007.txt,"10,000",203.3 ms,4.8 ms,3.1 ms,0.51
decks_0008.txt,"10,000",172.2 ms,5.5 ms,3.6 ms,0.51
decks_0009.txt,"10,000",167.0 ms,4.8 ms,2.9 ms,0.51
decks_0010.txt,"10,000",162.9 ms,5.0 ms,3.2 ms,0.51
decks_0011.txt,"10,000",165.1 ms,5.8 ms,3.7 ms,0.51
decks_0012.txt,"10,000",178.7 ms,5.0 ms,3.0 ms,0.51
decks_0013.txt,"10,000",173.7 ms,5.9 ms,3.8 ms,0.51
decks_0014.txt,"10,000",168.0 ms,5.7 ms,3.8 ms,0.51
decks_0015.txt,"10,000",186.0 ms,5.4 ms,3.7 ms,0.51
decks_0016.txt,"10,000",455.5 ms,19.2 ms,10.0 ms,0.51
decks_0017.txt,"10,000",512.9 ms,18.4 ms,10.0 ms,0.51
decks_0018.txt,"10,000",521.5 ms,19.4 ms,5.7 ms,0.51
decks_0019.txt,"10,000",506.0 ms,19.7 ms,9.9 ms,0.51
decks_0020.txt,"10,000",523.3 ms,20.9 ms,8.4 ms,0.51
decks_0021.txt,"10,000",542.0 ms,18.7 ms,9.2 ms,0.51
decks_0022.txt,"10,000",528.9 ms,17.4 ms,10.7 ms,0.51
decks_0023.txt,"10,000",550.6 ms,18.5 ms,8.0 ms,0.51
decks_0024.txt,"10,000",539.4 ms,12.6 ms,10.2 ms,0.51
decks_0025.txt,"10,000",555.4 ms,20.1 ms,8.3 ms,0.51
decks_0026.txt,"10,000",687.3 ms,10.0 ms,6.0 ms,0.51
decks_0027.txt,"10,000",496.4 ms,23.7 ms,11.1 ms,0.51
decks_0028.txt,"10,000",517.5 ms,19.3 ms,10.6 ms,0.51
decks_0029.txt,"10,000",515.3 ms,15.5 ms,8.2 ms,0.51
decks_0030.txt,"10,000",517.2 ms,10.3 ms,5.3 ms,0.51
decks_0031.txt,"10,000",307.2 ms,9.3 ms,10.2 ms,0.51
decks_0032.txt,"10,000",528.4 ms,20.1 ms,10.8 ms,0.51
decks_0033.txt,"10,000",532.9 ms,22.2 ms,7.5 ms,0.51
decks_0034.txt,"10,000",517.4 ms,15.7 ms,5.3 ms,0.51
decks_0035.txt,"10,000",428.0 ms,22.0 ms,7.7 ms,0.51
decks_0036.txt,"10,000",523.4 ms,10.6 ms,9.5 ms,0.51
decks_0037.txt,"10,000",508.2 ms,21.0 ms,6.1 ms,0.51
decks_0038.txt,"10,000",483.1 ms,17.5 ms,10.7 ms,0.51
decks_0039.txt,"10,000",511.8 ms,20.1 ms,9.0 ms,0.51
decks_0040.txt,"10,000",527.4 ms,24.7 ms,8.5 ms,0.51
decks_0041.txt,"10,000",515.2 ms,18.3 ms,9.3 ms,0.51
decks_0042.txt,"10,000",511.5 ms,9.6 ms,6.6 ms,0.51
decks_0043.txt,"10,000",489.6 ms,20.0 ms,10.4 ms,0.51
decks_0044.txt,"10,000",515.8 ms,9.9 ms,11.3 ms,0.51
decks_0045.txt,"10,000",511.2 ms,22.3 ms,8.3 ms,0.51
decks_0046.txt,"10,000",520.0 ms,20.6 ms,10.7 ms,0.51
decks_0047.txt,"10,000",518.7 ms,9.0 ms,6.1 ms,0.51
decks_0048.txt,"10,000",482.8 ms,20.5 ms,10.9 ms,0.51
decks_0049.txt,"10,000",513.9 ms,10.4 ms,10.4 ms,0.51
decks_0050.txt,"10,000",527.2 ms,17.9 ms,8.2 ms,0.51
decks_0051.txt,"10,000",520.5 ms,10.6 ms,5.6 ms,0.51
decks_0052.txt,"10,000",489.0 ms,19.9 ms,8.6 ms,0.51
decks_0053.txt,"10,000",509.2 ms,11.9 ms,10.5 ms,0.51
decks_0054.txt,"10,000",511.4 ms,20.6 ms,8.5 ms,0.51
decks_0055.txt,"10,000",519.7 ms,10.3 ms,9.4 ms,0.51
decks_0056.txt,"10,000",508.8 ms,23.2 ms,8.8 ms,0.51
decks_0057.txt,"10,000",517.2 ms,20.4 ms,6.1 ms,0.51
decks_0058.txt,"10,000",509.2 ms,19.1 ms,5.2 ms,0.51
decks_0059.txt,"10,000",489.8 ms,20.3 ms,8.4 ms,0.51
decks_0060.txt,"10,000",518.7 ms,10.9 ms,8.7 ms,0.51
decks_0061.txt,"10,000",515.8 ms,21.1 ms,8.5 ms,0.51
decks_0062.txt,"10,000",520.0 ms,10.8 ms,10.1 ms,0.51
decks_0063.txt,"10,000",517.6 ms,20.1 ms,10.4 ms,0.51
decks_0064.txt,"10,000",518.9 ms,11.3 ms,6.4 ms,0.51
decks_0065.txt,"10,000",476.3 ms,20.3 ms,8.7 ms,0.51
decks_0066.txt,"10,000",519.6 ms,21.5 ms,9.0 ms,0.51
decks_0067.txt,"10,000",512.8 ms,20.0 ms,8.9 ms,0.51
decks_0068.txt,"10,000",536.4 ms,10.7 ms,5.6 ms,0.51
decks_0069.txt,"10,000",497.1 ms,20.0 ms,8.8 ms,0.51
decks_0070.txt,"10,000",526.7 ms,9.6 ms,10.5 ms,0.51
decks_0071.txt,"10,000",509.1 ms,14.5 ms,5.5 ms,0.51
decks_0072.txt,"10,000",438.1 ms,9.2 ms,5.5 ms,0.51
decks_0073.txt,"10,000",509.2 ms,22.8 ms,9.3 ms,0.51
decks_0074.txt,"10,000",524.3 ms,11.1 ms,5.6 ms,0.51
decks_0075.txt,"10,000",485.5 ms,13.7 ms,11.8 ms,0.51
decks_0076.txt,"10,000",530.7 ms,10.6 ms,5.2 ms,0.51
decks_0077.txt,"10,000",501.9 ms,20.5 ms,9.7 ms,0.51
decks_0078.txt,"10,000",519.3 ms,18.4 ms,6.4 ms,0.51
decks_0079.txt,"10,000",516.5 ms,20.0 ms,10.4 ms,0.51
